Date,Visitor/Neutral,PTS,Home/Neutral,PTS,WLoc,WTeam,LTeam
Sat Nov 4 2017,Dallas Mavericks,99,Minnesota Timberwolves,112,H,Minnesota Timberwolves,Dallas Mavericks
Sun Nov 5 2017,Atlanta Hawks,117,Cleveland Cavaliers,115,V,Atlanta Hawks,Cleveland Cavaliers
Sun Nov 5 2017,Utah Jazz,110,Houston Rockets,137,H,Houston Rockets,Utah Jazz
Sun Nov 5 2017,Miami Heat,104,Los Angeles Clippers,101,V,Miami Heat,Los Angeles Clippers
Sun Nov 5 2017,Memphis Grizzlies,102,Los Angeles Lakers,107,H,Los Angeles Lakers,Memphis Grizzlies
Sun Nov 5 2017,Charlotte Hornets,94,Minnesota Timberwolves,112,H,Minnesota Timberwolves,Charlotte Hornets
Sun Nov 5 2017,Indiana Pacers,101,New York Knicks,108,H,New York Knicks,Indiana Pacers
Sun Nov 5 2017,Boston Celtics,104,Orlando Magic,88,V,Boston Celtics,Orlando Magic
Sun Nov 5 2017,Oklahoma City Thunder,99,Portland Trail Blazers,103,H,Portland Trail Blazers,Oklahoma City Thunder
Sun Nov 5 2017,Phoenix Suns,95,San Antonio Spurs,112,H,San Antonio Spurs,Phoenix Suns
Sun Nov 5 2017,Washington Wizards,107,Toronto Raptors,96,V,Washington Wizards,Toronto Raptors
Mon Nov 6 2017,Boston Celtics,110,Atlanta Hawks,107,V,Boston Celtics,Atlanta Hawks
Mon Nov 6 2017,Miami Heat,80,Golden State Warriors,97,H,Golden State Warriors,Miami Heat
Mon Nov 6 2017,Brooklyn Nets,98,Phoenix Suns,92,V,Brooklyn Nets,Phoenix Suns
Tue Nov 7 2017,Milwaukee Bucks,119,Cleveland Cavaliers,124,H,Cleveland Cavaliers,Milwaukee Bucks
Tue Nov 7 2017,Brooklyn Nets,104,Denver Nuggets,112,H,Denver Nuggets,Brooklyn Nets
Tue Nov 7 2017,New Orleans Pelicans,117,Indiana Pacers,112,V,New Orleans Pelicans,Indiana Pacers
Tue Nov 7 2017,Charlotte Hornets,113,New York Knicks,118,H,New York Knicks,Charlotte Hornets
Tue Nov 7 2017,Memphis Grizzlies,98,Portland Trail Blazers,97,V,Memphis Grizzlies,Portland Trail Blazers
Tue Nov 7 2017,Oklahoma City Thunder,86,Sacramento Kings,94,H,Sacramento Kings,Oklahoma City Thunder
Tue Nov 7 2017,Los Angeles Clippers,107,San Antonio Spurs,120,H,San Antonio Spurs,Los Angeles Clippers
Tue Nov 7 2017,Chicago Bulls,114,Toronto Raptors,119,H,Toronto Raptors,Chicago Bulls
Tue Nov 7 2017,Philadelphia 76ers,104,Utah Jazz,97,V,Philadelphia 76ers,Utah Jazz
Tue Nov 7 2017,Dallas Mavericks,113,Washington Wizards,99,V,Dallas Mavericks,Washington Wizards
Wed Nov 8 2017,Los Angeles Lakers,96,Boston Celtics,107,H,Boston Celtics,Los Angeles Lakers
Wed Nov 8 2017,Indiana Pacers,97,Detroit Pistons,114,H,Detroit Pistons,Indiana Pacers
Wed Nov 8 2017,Minnesota Timberwolves,101,Golden State Warriors,125,H,Golden State Warriors,Minnesota Timberwolves
Wed Nov 8 2017,New York Knicks,99,Orlando Magic,112,H,Orlando Magic,New York Knicks
Wed Nov 8 2017,Miami Heat,126,Phoenix Suns,115,V,Miami Heat,Phoenix Suns
Thu Nov 9 2017,Oklahoma City Thunder,94,Denver Nuggets,102,H,Denver Nuggets,Oklahoma City Thunder
Thu Nov 9 2017,Cleveland Cavaliers,113,Houston Rockets,117,H,Houston Rockets,Cleveland Cavaliers
Thu Nov 9 2017,Philadelphia 76ers,108,Sacramento Kings,109,H,Sacramento Kings,Philadelphia 76ers
Thu Nov 9 2017,New Orleans Pelicans,118,Toronto Raptors,122,H,Toronto Raptors,New Orleans Pelicans
Thu Nov 9 2017,Los Angeles Lakers,95,Washington Wizards,111,H,Washington Wizards,Los Angeles Lakers
Fri Nov 10 2017,Charlotte Hornets,87,Boston Celtics,90,H,Boston Celtics,Charlotte Hornets
Fri Nov 10 2017,Indiana Pacers,105,Chicago Bulls,87,V,Indiana Pacers,Chicago Bulls
Fri Nov 10 2017,Atlanta Hawks,104,Detroit Pistons,111,H,Detroit Pistons,Atlanta Hawks
Fri Nov 10 2017,Los Angeles Clippers,111,Oklahoma City Thunder,120,H,Oklahoma City Thunder,Los Angeles Clippers
Fri Nov 10 2017,Orlando Magic,128,Phoenix Suns,112,V,Orlando Magic,Phoenix Suns
Fri Nov 10 2017,Brooklyn Nets,101,Portland Trail Blazers,97,V,Brooklyn Nets,Portland Trail Blazers
Fri Nov 10 2017,Milwaukee Bucks,94,San Antonio Spurs,87,V,Milwaukee Bucks,San Antonio Spurs
Fri Nov 10 2017,Miami Heat,84,Utah Jazz,74,V,Miami Heat,Utah Jazz
Sat Nov 11 2017,Cleveland Cavaliers,111,Dallas Mavericks,104,V,Cleveland Cavaliers,Dallas Mavericks
Sat Nov 11 2017,Orlando Magic,107,Denver Nuggets,125,H,Denver Nuggets,Orlando Magic
Sat Nov 11 2017,Philadelphia 76ers,114,Golden State Warriors,135,H,Golden State Warriors,Philadelphia 76ers
Sat Nov 11 2017,Memphis Grizzlies,96,Houston Rockets,111,H,Houston Rockets,Memphis Grizzlies
Sat Nov 11 2017,Los Angeles Lakers,90,Milwaukee Bucks,98,H,Milwaukee Bucks,Los Angeles Lakers
Sat Nov 11 2017,Los Angeles Clippers,103,New Orleans Pelicans,111,H,New Orleans Pelicans,Los Angeles Clippers
Sat Nov 11 2017,Sacramento Kings,91,New York Knicks,118,H,New York Knicks,Sacramento Kings
Sat Nov 11 2017,Minnesota Timberwolves,110,Phoenix Suns,118,H,Phoenix Suns,Minnesota Timberwolves
Sat Nov 11 2017,Chicago Bulls,94,San Antonio Spurs,133,H,San Antonio Spurs,Chicago Bulls
Sat Nov 11 2017,Brooklyn Nets,106,Utah Jazz,114,H,Utah Jazz,Brooklyn Nets
Sat Nov 11 2017,Atlanta Hawks,94,Washington Wizards,113,H,Washington Wizards,Atlanta Hawks
Sun Nov 12 2017,Toronto Raptors,94,Boston Celtics,95,H,Boston Celtics,Toronto Raptors
Sun Nov 12 2017,Miami Heat,103,Detroit Pistons,112,H,Detroit Pistons,Miami Heat
Sun Nov 12 2017,Houston Rockets,118,Indiana Pacers,95,V,Houston Rockets,Indiana Pacers
Sun Nov 12 2017,Dallas Mavericks,99,Oklahoma City Thunder,112,H,Oklahoma City Thunder,Dallas Mavericks
Mon Nov 13 2017,Orlando Magic,100,Golden State Warriors,110,H,Golden State Warriors,Orlando Magic
Mon Nov 13 2017,Philadelphia 76ers,109,Los Angeles Clippers,105,V,Philadelphia 76ers,Los Angeles Clippers
Mon Nov 13 2017,Memphis Grizzlies,103,Milwaukee Bucks,110,H,Milwaukee Bucks,Memphis Grizzlies
Mon Nov 13 2017,Atlanta Hawks,105,New Orleans Pelicans,106,H,New Orleans Pelicans,Atlanta Hawks
Mon Nov 13 2017,Cleveland Cavaliers,104,New York Knicks,101,V,Cleveland Cavaliers,New York Knicks
Mon Nov 13 2017,Los Angeles Lakers,100,Phoenix Suns,93,V,Los Angeles Lakers,Phoenix Suns
Mon Nov 13 2017,Denver Nuggets,82,Portland Trail Blazers,99,H,Portland Trail Blazers,Denver Nuggets
Mon Nov 13 2017,Minnesota Timberwolves,109,Utah Jazz,98,V,Minnesota Timberwolves,Utah Jazz
Mon Nov 13 2017,Sacramento Kings,92,Washington Wizards,110,H,Washington Wizards,Sacramento Kings
Tue Nov 14 2017,Boston Celtics,109,Brooklyn Nets,102,V,Boston Celtics,Brooklyn Nets
Tue Nov 14 2017,San Antonio Spurs,97,Dallas Mavericks,91,V,San Antonio Spurs,Dallas Mavericks
Tue Nov 14 2017,Toronto Raptors,129,Houston Rockets,113,V,Toronto Raptors,Houston Rockets
Wed Nov 15 2017,Sacramento Kings,80,Atlanta Hawks,126,H,Atlanta Hawks,Sacramento Kings
Wed Nov 15 2017,Cleveland Cavaliers,115,Charlotte Hornets,107,V,Cleveland Cavaliers,Charlotte Hornets
Wed Nov 15 2017,Philadelphia 76ers,115,Los Angeles Lakers,109,V,Philadelphia 76ers,Los Angeles Lakers
Wed Nov 15 2017,Indiana Pacers,116,Memphis Grizzlies,113,V,Indiana Pacers,Memphis Grizzlies
Wed Nov 15 2017,Washington Wizards,102,Miami Heat,93,V,Washington Wizards,Miami Heat
Wed Nov 15 2017,Detroit Pistons,95,Milwaukee Bucks,99,H,Milwaukee Bucks,Detroit Pistons
Wed Nov 15 2017,San Antonio Spurs,86,Minnesota Timberwolves,98,H,Minnesota Timberwolves,San Antonio Spurs
Wed Nov 15 2017,Toronto Raptors,125,New Orleans Pelicans,116,V,Toronto Raptors,New Orleans Pelicans
Wed Nov 15 2017,Utah Jazz,101,New York Knicks,106,H,New York Knicks,Utah Jazz
Wed Nov 15 2017,Chicago Bulls,79,Oklahoma City Thunder,92,H,Oklahoma City Thunder,Chicago Bulls
Wed Nov 15 2017,Orlando Magic,94,Portland Trail Blazers,99,H,Portland Trail Blazers,Orlando Magic
Thu Nov 16 2017,Golden State Warriors,88,Boston Celtics,92,H,Boston Celtics,Golden State Warriors
